;Critic2LR;Steps;Wall_Time
382;9.999999747378752e-06;520320;1651185684.1145961
383;9.999999747378752e-06;521600;1651185686.5803614
384;9.999999747378752e-06;522880;1651185689.0992303
385;9.999999747378752e-06;524800;1651185692.9635618
386;9.999999747378752e-06;526720;1651185696.8053913
387;9.999999747378752e-06;528640;1651185700.516841
388;9.999999747378752e-06;529280;1651185701.8554685
389;9.999999747378752e-06;530560;1651185704.3807247
390;9.999999747378752e-06;533760;1651185710.6530952
391;9.999999747378752e-06;534400;1651185711.7639282
392;9.999999747378752e-06;536320;1651185715.5201013
393;9.999999747378752e-06;536960;1651185716.828657
394;9.999999747378752e-06;538240;1651185719.3408883
395;9.999999747378752e-06;538880;1651185720.4623008
396;9.999999747378752e-06;539520;1651185721.800726
397;9.999999747378752e-06;540160;1651185722.977864
398;9.999999747378752e-06;542080;1651185726.7866838
399;9.999999747378752e-06;543360;1651185729.2590973
400;9.999999747378752e-06;544000;1651185730.5923061
401;9.999999747378752e-06;544640;1651185731.7748268
402;9.999999747378752e-06;545280;1651185733.1025016
403;9.999999747378752e-06;546560;1651185735.5898561
404;9.999999747378752e-06;547840;1651185738.112143
405;9.999999747378752e-06;549760;1651185741.9438457
406;9.999999747378752e-06;550400;1651185743.1064403
407;9.999999747378752e-06;551040;1651185744.4456823
408;9.999999747378752e-06;553600;1651185749.4318972
409;9.999999747378752e-06;554240;1651185750.6603053
410;9.999999747378752e-06;554880;1651185751.9164
411;9.999999747378752e-06;556160;1651185754.4181948
412;9.999999747378752e-06;556800;1651185755.7602618
413;9.999999747378752e-06;557440;1651185756.9398224
414;9.999999747378752e-06;558720;1651185759.4681885
415;9.999999747378752e-06;559360;1651185760.8055098
416;9.999999747378752e-06;560000;1651185762.0994837
417;9.999999747378752e-06;560640;1651185763.2985861
418;9.999999747378752e-06;561280;1651185764.642113
419;9.999999747378752e-06;561920;1651185765.7699838
420;9.999999747378752e-06;564480;1651185770.7038865
421;9.999999747378752e-06;565760;1651185773.2023325
422;9.999999747378752e-06;566400;1651185774.5385149
423;9.999999747378752e-06;567680;1651185777.0220456
424;9.999999747378752e-06;568960;1651185779.4813018
425;9.999999747378752e-06;571520;1651185784.5965366
426;9.999999747378752e-06;572160;1651185786.0871058
427;9.999999747378752e-06;573440;1651185788.603606
428;9.999999747378752e-06;574080;1651185790.1047106
429;9.999999747378752e-06;574720;1651185791.290154
430;9.999999747378752e-06;576000;1651185835.435685
431;9.999999747378752e-06;577280;1651185838.1157088
432;9.999999747378752e-06;577920;1651185839.2781713
433;9.999999747378752e-06;578560;1651185840.5881715
434;9.999999747378752e-06;579200;1651185841.872725
435;9.999999747378752e-06;580480;1651185844.271637
436;9.999999747378752e-06;581120;1651185845.5858448
437;9.999999747378752e-06;581760;1651185846.9002903
438;9.999999747378752e-06;582400;1651185848.2198548
439;9.999999747378752e-06;583680;1651185850.645081
440;9.999999747378752e-06;584960;1651185853.2152755
441;9.999999747378752e-06;587520;1651185858.3127809
442;9.999999747378752e-06;589440;1651185862.213067
443;9.999999747378752e-06;590080;1651185863.3676612
444;9.999999747378752e-06;591360;1651185866.0911114
445;9.999999747378752e-06;592000;1651185867.2488213
446;9.999999747378752e-06;592640;1651185868.5600374
447;9.999999747378752e-06;593280;1651185869.808179
448;9.999999747378752e-06;594560;1651185872.2821717
449;9.999999747378752e-06;595840;1651185874.934062
450;9.999999747378752e-06;596480;1651185876.237627
451;9.999999747378752e-06;597120;1651185877.34114
452;9.999999747378752e-06;597760;1651185878.763924
453;9.999999747378752e-06;598400;1651185879.9326806
454;9.999999747378752e-06;599040;1651185881.2332263
455;9.999999747378752e-06;599680;1651185882.551364
456;9.999999747378752e-06;600320;1651185883.8441546
457;9.999999747378752e-06;602240;1651185887.573948
458;9.999999747378752e-06;602880;1651185888.8753705
459;9.999999747378752e-06;604160;1651185891.1783159
460;9.999999747378752e-06;604800;1651185892.327318
461;9.999999747378752e-06;605440;1651185893.5788593
462;9.999999747378752e-06;606080;1651185894.7007625
463;9.999999747378752e-06;607360;1651185897.1994808
464;9.999999747378752e-06;608640;1651185899.5540164
465;9.999999747378752e-06;609920;1651185902.057132
466;9.999999747378752e-06;612480;1651185906.8696458
467;9.999999747378752e-06;614400;1651185910.5873961
468;9.999999747378752e-06;618880;1651185919.0419204
469;9.999999747378752e-06;620160;1651185921.4036818
470;9.999999747378752e-06;620800;1651185922.564844
471;9.999999747378752e-06;622080;1651185925.0081859
472;9.999999747378752e-06;623360;1651185927.4984841
473;9.999999747378752e-06;624000;1651185928.6633284
474;9.999999747378752e-06;624640;1651185929.826953
475;9.999999747378752e-06;625280;1651185930.9888632
476;9.999999747378752e-06;628480;1651185937.493228
477;9.999999747378752e-06;629120;1651185938.654885
478;9.999999747378752e-06;631040;1651185942.632393
479;9.999999747378752e-06;631680;1651185943.7848501
480;9.999999747378752e-06;632320;1651185945.1065004
481;9.999999747378752e-06;633600;1651185947.7633975
482;9.999999747378752e-06;634240;1651185948.949691
483;9.999999747378752e-06;634880;1651185950.4168904
484;9.999999747378752e-06;635520;1651185951.753632
485;9.999999747378752e-06;637440;1651185955.4839754
486;9.999999747378752e-06;638720;1651185957.972982
487;9.999999747378752e-06;639360;1651185959.4520285
488;9.999999747378752e-06;640000;1651186002.6459184
489;9.999999747378752e-06;641280;1651186005.1394033
490;9.999999747378752e-06;641920;1651186006.645024
491;9.999999747378752e-06;642560;1651186007.7757323
492;9.999999747378752e-06;644480;1651186011.7839236
493;9.999999747378752e-06;645120;1651186012.969057
494;9.999999747378752e-06;647040;1651186016.987093
495;9.999999747378752e-06;648320;1651186019.5064685
496;9.999999747378752e-06;648960;1651186021.007606
497;9.999999747378752e-06;649600;1651186022.1908214
498;9.999999747378752e-06;650880;1651186024.874966
499;9.999999747378752e-06;652800;1651186028.7110186
500;9.999999747378752e-06;656640;1651186036.53204
501;9.999999747378752e-06;657920;1651186039.375247
502;9.999999747378752e-06;659840;1651186043.2329175
503;9.999999747378752e-06;661760;1651186047.0985537
504;9.999999747378752e-06;664960;1651186053.6616275
505;9.999999747378752e-06;665600;1651186054.8129554
506;9.999999747378752e-06;667520;1651186058.8318255
507;9.999999747378752e-06;670720;1651186065.2869594
508;9.999999747378752e-06;671360;1651186066.5797029
509;9.999999747378752e-06;672000;1651186067.9376504
510;9.999999747378752e-06;673280;1651186070.4402957
511;9.999999747378752e-06;675200;1651186074.434659
512;9.999999747378752e-06;675840;1651186075.766399
513;9.999999747378752e-06;676480;1651186077.1079183
514;9.999999747378752e-06;677120;1651186078.285195
515;9.999999747378752e-06;677760;1651186079.6184409
516;9.999999747378752e-06;678400;1651186080.9725223
517;9.999999747378752e-06;679040;1651186082.2985077
518;9.999999747378752e-06;679680;1651186083.4831355
519;9.999999747378752e-06;680960;1651186086.3118212
520;9.999999747378752e-06;684160;1651186092.5114136
521;9.999999747378752e-06;686720;1651186097.661632
522;9.999999747378752e-06;688000;1651186100.5129752
523;9.999999747378752e-06;688640;1651186101.6934001
524;9.999999747378752e-06;689280;1651186103.069823
525;9.999999747378752e-06;691200;1651186106.8481407
526;9.999999747378752e-06;691840;1651186108.3393688
527;9.999999747378752e-06;693120;1651186110.7715116
528;9.999999747378752e-06;693760;1651186111.998763
529;9.999999747378752e-06;694400;1651186113.4466994
530;9.999999747378752e-06;695680;1651186115.9656036
531;9.999999747378752e-06;696320;1651186117.472538
532;9.999999747378752e-06;696960;1651186118.6550016
533;9.999999747378752e-06;698880;1651186122.5964093
534;9.999999747378752e-06;700160;1651186125.0680387
535;9.999999747378752e-06;700800;1651186126.4540915
536;9.999999747378752e-06;701440;1651186127.5830147
537;9.999999747378752e-06;702720;1651186130.0767229
538;9.999999747378752e-06;703360;1651186131.5745833
539;9.999999747378752e-06;704000;1651186173.614954
540;9.999999747378752e-06;704640;1651186174.757203
541;9.999999747378752e-06;705280;1651186175.8985987
542;9.999999747378752e-06;706560;1651186178.407397
543;9.999999747378752e-06;707200;1651186179.588151
544;9.999999747378752e-06;707840;1651186180.9425287
545;9.999999747378752e-06;710400;1651186185.8321536
546;9.999999747378752e-06;711040;1651186187.0129082
547;9.999999747378752e-06;712960;1651186190.6695058
548;9.999999747378752e-06;714240;1651186193.0374339
549;9.999999747378752e-06;714880;1651186194.370892
550;9.999999747378752e-06;715520;1651186195.5597606
551;9.999999747378752e-06;718720;1651186201.514324
552;9.999999747378752e-06;719360;1651186203.017933
553;9.999999747378752e-06;721280;1651186206.6400514
554;9.999999747378752e-06;722560;1651186209.256542
555;9.999999747378752e-06;725120;1651186214.525765
556;9.999999747378752e-06;730240;1651186224.9139445
557;9.999999747378752e-06;730880;1651186226.2277474
558;9.999999747378752e-06;731520;1651186227.4078734
559;9.999999747378752e-06;732160;1651186228.742192
560;9.999999747378752e-06;732800;1651186229.923886
