;avg_cost;Steps;Wall_Time
9165;-25.308671951293945;117312000;1649682325.9994216
9166;-25.903905868530273;117324800;1649682326.1392856
9167;-26.219219207763672;117337600;1649682326.2801912
9168;-25.658283233642578;117350400;1649682326.4167364
9169;-25.99429702758789;117363200;1649682326.5483842
9170;-25.47437286376953;117376000;1649682326.670723
9171;-26.113750457763672;117388800;1649682326.7941697
9172;-25.791093826293945;117401600;1649682326.912923
9173;-25.744373321533203;117414400;1649682327.0385294
9174;-25.815858840942383;117427200;1649682327.1814027
9175;-25.517654418945312;117440000;1649682327.3138437
9176;-25.485233306884766;117452800;1649682327.4454334
9177;-25.875938415527344;117465600;1649682327.5821788
9178;-25.62859344482422;117478400;1649682327.7164764
9179;-25.814062118530273;117491200;1649682327.8482714
9180;-26.082265853881836;117504000;1649682327.97667
9181;-25.815235137939453;117516800;1649682328.115234
9182;-25.746641159057617;117529600;1649682328.2551627
9183;-26.185077667236328;117542400;1649682328.3920586
9184;-25.74578094482422;117555200;1649682328.5243454
9185;-26.003673553466797;117568000;1649682328.657761
9186;-25.906875610351562;117580800;1649682328.792652
9187;-25.75210952758789;117593600;1649682328.9200041
9188;-25.777578353881836;117606400;1649682329.0529716
9189;-25.761642456054688;117619200;1649682329.190673
9190;-25.825389862060547;117632000;1649682329.3262591
9191;-25.833202362060547;117644800;1649682329.4614947
9192;-25.780548095703125;117657600;1649682329.5840282
9193;-25.868202209472656;117670400;1649682329.7046201
9194;-25.411720275878906;117683200;1649682329.828235
9195;-25.774295806884766;117696000;1649682329.956819
9196;-25.743751525878906;117708800;1649682330.0800338
9197;-25.576250076293945;117721600;1649682330.2161038
9198;-25.79898452758789;117734400;1649682330.3411727
9199;-25.950077056884766;117747200;1649682330.4729474
9200;-25.74984359741211;117760000;1649682334.1147013
9201;-25.51578140258789;117772800;1649682334.2532442
9202;-25.444141387939453;117785600;1649682334.3841376
9203;-25.475704193115234;117798400;1649682334.518347
9204;-25.999374389648438;117811200;1649682334.6552496
9205;-25.955623626708984;117824000;1649682334.7870393
9206;-25.891328811645508;117836800;1649682334.9174476
9207;-25.676015853881836;117849600;1649682335.0494163
9208;-25.735233306884766;117862400;1649682335.1817672
9209;-25.672576904296875;117875200;1649682335.3102016
9210;-25.907814025878906;117888000;1649682335.434914
9211;-25.639060974121094;117900800;1649682335.563186
9212;-25.712032318115234;117913600;1649682335.6886172
9213;-25.834609985351562;117926400;1649682335.8177538
9214;-25.469451904296875;117939200;1649682335.9479587
9215;-26.102813720703125;117952000;1649682336.0849435
9216;-25.577577590942383;117964800;1649682336.2064903
9217;-26.057968139648438;117977600;1649682336.338697
9218;-25.825000762939453;117990400;1649682336.4685674
9219;-25.772422790527344;118003200;1649682336.5951414
9220;-25.806640625;118016000;1649682336.7271006
9221;-25.71257781982422;118028800;1649682336.8562217
9222;-26.398202896118164;118041600;1649682336.9853504
9223;-25.725467681884766;118054400;1649682337.1160243
9224;-25.664844512939453;118067200;1649682337.2522418
9225;-25.93375015258789;118080000;1649682337.394608
9226;-26.200546264648438;118092800;1649682337.6013842
9227;-25.7589054107666;118105600;1649682337.7411664
9228;-25.69882583618164;118118400;1649682337.875031
9229;-25.908985137939453;118131200;1649682337.9972723
9230;-25.40804672241211;118144000;1649682338.1146853
9231;-25.671249389648438;118156800;1649682338.2543375
9232;-25.848751068115234;118169600;1649682338.3801675
9233;-25.604686737060547;118182400;1649682338.5108383
9234;-25.959688186645508;118195200;1649682338.6375134
9235;-25.625703811645508;118208000;1649682338.7710302
9236;-25.90913963317871;118220800;1649682338.8981442
9237;-25.992656707763672;118233600;1649682339.0224242
9238;-25.439374923706055;118246400;1649682339.1480384
9239;-25.69351577758789;118259200;1649682339.2727072
9240;-25.616952896118164;118272000;1649682339.39452
9241;-25.811328887939453;118284800;1649682339.524971
9242;-25.636249542236328;118297600;1649682339.6439738
9243;-25.687889099121094;118310400;1649682339.7694116
9244;-26.191797256469727;118323200;1649682339.8893776
9245;-25.467655181884766;118336000;1649682340.0085235
9246;-25.430625915527344;118348800;1649682340.1320012
9247;-25.830078125;118361600;1649682340.252531
9248;-25.892032623291016;118374400;1649682340.37536
9249;-25.59148406982422;118387200;1649682340.5012605
9250;-26.485782623291016;118400000;1649682340.624021
9251;-26.25992202758789;118412800;1649682340.750993
9252;-25.750232696533203;118425600;1649682340.878674
9253;-25.756641387939453;118438400;1649682341.006824
9254;-25.624765396118164;118451200;1649682341.131882
9255;-26.016952514648438;118464000;1649682341.2555668
